rule,sub,subname,metric,period,hit,miss,refund,net,stake,roi,hr
1,2,找平衡,combo,6月新,9,69,15,-19.2,93,-20.7,11.5
1,2,找平衡,odd_even,6月新,9,14,8,2.7,31,8.5,39.1
1,3,追长龙,big_small,6月新,40,62,19,12.0,121,9.9,39.2
1,3,追长龙,combo,6月新,5,17,3,9.7,25,38.6,22.7
1,4,小六壬预测,combo,6月新,1,16,0,-10.2,17,-60.1,5.9
1,5,频次趋势 V1,big_small,6月新,44,72,28,9.4,144,6.5,37.9
1,6,组合马尔可夫 V1,big_small,6月新,102,180,84,8.7,366,2.4,36.2
1,6,组合马尔可夫 V1,combo,6月新,3,7,2,10.3,12,86.2,30.0
1,6,组合马尔可夫 V1,odd_even,6月新,28,43,23,8.8,94,9.4,39.4
1,7,遗漏回补 V1,big_small,6月新,5,10,6,-0.8,21,-3.6,33.3
1,7,遗漏回补 V1,combo,6月新,3,6,1,10.9,10,108.9,33.3
2,2,找平衡,big_small,6月新,6,19,11,-7.9,36,-21.9,24.0
2,2,找平衡,combo,6月新,1,16,2,-10.7,19,-56.2,5.9
2,2,找平衡,odd_even,6月新,31,60,28,-2.7,119,-2.2,34.1
2,3,追长龙,big_small,6月新,13,25,15,-0.9,53,-1.8,34.2
2,3,追长龙,odd_even,6月新,15,29,15,-1.3,59,-2.1,34.1
2,4,小六壬预测,big_small,6月新,34,71,25,-8.1,130,-6.2,32.4
2,4,小六壬预测,combo,6月新,17,56,8,38.2,81,47.2,23.3
2,4,小六壬预测,odd_even,6月新,0,0,1,0.0,1,0.0,0.0
2,5,频次趋势 V1,big_small,6月新,12,27,12,-4.8,51,-9.4,30.8
2,5,频次趋势 V1,combo,6月新,0,1,0,-1.0,1,-100.0,0.0
2,5,频次趋势 V1,odd_even,6月新,35,46,16,18.8,97,19.3,43.2
2,6,组合马尔可夫 V1,combo,6月新,2,15,4,-3.4,21,-16.4,11.8
2,6,组合马尔可夫 V1,odd_even,6月新,21,40,23,-1.2,84,-1.4,34.4
2,7,遗漏回补 V1,big_small,6月新,12,25,8,-2.8,45,-6.2,32.4
2,7,遗漏回补 V1,combo,6月新,2,2,1,8.7,5,173.2,50.0
2,7,遗漏回补 V1,odd_even,6月新,33,47,28,14.0,108,13.0,41.2
