family,strategy,policy,sample_months,months_with_bets,target_reached_months,all_sample_months_reached,funding_failure_months,lowest_month_net,total_net,max_principal_loss,max_drawdown
observed,observed_rule2:sub3:odd_even,target100_bankroll,5,3,0,False,0,-51.55,-46.6,51.55,54.65
observed,observed_rule2:sub3:odd_even,target100_limit99,5,3,0,False,0,-51.55,-46.6,51.55,54.65
observed,observed_rule2:sub4:big_small,target100_bankroll,5,3,0,False,0,-21.3,26.15,21.3,40.4
observed,observed_rule2:sub4:big_small,target100_limit99,5,3,0,False,0,-21.3,26.15,21.3,40.4
observed,observed_rule2:sub4:combo,target100_bankroll,5,3,0,False,0,-22.22,-2.47,40.23,40.23
observed,observed_rule2:sub4:combo,target100_limit99,5,3,0,False,0,-22.22,-2.47,40.23,40.23
observed,observed_rule2:sub4:odd_even,target100_bankroll,5,3,0,False,0,-20.05,-4.9,27.9,36.25
observed,observed_rule2:sub4:odd_even,target100_limit99,5,3,0,False,0,-20.05,-4.9,27.9,36.25
observed,observed_rule2:sub5:big_small,target100_bankroll,5,5,0,False,0,-24.1,17.95,24.1,28.6
observed,observed_rule2:sub5:big_small,target100_limit99,5,5,0,False,0,-24.1,17.95,24.1,28.6
observed,observed_rule2:sub5:combo,target100_bankroll,5,2,0,False,0,0.0,54.02,7.0,17.22
observed,observed_rule2:sub5:combo,target100_limit99,5,2,0,False,0,0.0,54.02,7.0,17.22
observed,observed_rule2:sub5:odd_even,target100_bankroll,5,2,0,False,0,0.0,65.6,20.65,25.45
observed,observed_rule2:sub5:odd_even,target100_limit99,5,2,0,False,0,0.0,65.6,20.65,25.45
observed,observed_rule2:sub6:big_small,target100_bankroll,5,3,0,False,0,-21.45,-28.8,23.65,32.45
observed,observed_rule2:sub6:big_small,target100_limit99,5,3,0,False,0,-21.45,-28.8,23.65,32.45
observed,observed_rule2:sub6:combo,target100_bankroll,5,3,0,False,0,0.0,56.26,9.0,28.33
observed,observed_rule2:sub6:combo,target100_limit99,5,3,0,False,0,0.0,56.26,9.0,28.33
observed,observed_rule2:sub6:odd_even,target100_bankroll,5,3,0,False,0,-18.75,15.05,21.1,26.35
observed,observed_rule2:sub6:odd_even,target100_limit99,5,3,0,False,0,-18.75,15.05,21.1,26.35
observed,observed_rule2:sub7:big_small,target100_bankroll,4,2,0,False,0,0.0,5.55,16.75,20.1
observed,observed_rule2:sub7:big_small,target100_limit99,4,2,0,False,0,0.0,5.55,16.75,20.1
observed,observed_rule2:sub7:combo,target100_bankroll,4,2,0,False,0,0.0,31.11,3.0,20.0
observed,observed_rule2:sub7:combo,target100_limit99,4,2,0,False,0,0.0,31.11,3.0,20.0
observed,observed_rule2:sub7:odd_even,target100_bankroll,4,2,0,False,0,-19.7,-30.45,24.9,24.9
observed,observed_rule2:sub7:odd_even,target100_limit99,4,2,0,False,0,-19.7,-30.45,24.9,24.9
observed,observed_rule3,target100_bankroll,3,3,0,False,0,-23.1,-43.7,36.15,53.9
observed,observed_rule3,target100_limit99,3,3,0,False,0,-23.1,-43.7,36.15,53.9
observed,observed_rule3:sub6:odd_even,target100_bankroll,3,1,0,False,0,-37.45,-37.45,42.0,50.35
observed,observed_rule3:sub6:odd_even,target100_limit99,3,1,0,False,0,-37.45,-37.45,42.0,50.35
observed,observed_rule3:sub7:odd_even,target100_bankroll,3,3,0,False,0,-23.1,-10.8,26.9,53.9
observed,observed_rule3:sub7:odd_even,target100_limit99,3,3,0,False,0,-23.1,-10.8,26.9,53.9
observed,observed_rule4,target100_bankroll,1,1,0,False,0,11.55,11.55,5.9,15.75
observed,observed_rule4,target100_limit99,1,1,0,False,0,11.55,11.55,5.9,15.75
observed,observed_rule4:sub8:odd_even,target100_bankroll,1,1,0,False,0,11.55,11.55,5.9,15.75
observed,observed_rule4:sub8:odd_even,target100_limit99,1,1,0,False,0,11.55,11.55,5.9,15.75
observed,observed_rule5,target100_bankroll,1,1,0,False,0,4.35,4.35,5.0,5.0
observed,observed_rule5,target100_limit99,1,1,0,False,0,4.35,4.35,5.0,5.0
observed,observed_rule5:sub14:odd_even,target100_bankroll,1,1,0,False,0,4.35,4.35,5.0,5.0
observed,observed_rule5:sub14:odd_even,target100_limit99,1,1,0,False,0,4.35,4.35,5.0,5.0
observed,observed_sub10:PC28方案组合共识优选（28%）:combo,target100_bankroll,3,2,0,False,0,-27.68,-19.12,32.79,32.79
observed,observed_sub10:PC28方案组合共识优选（28%）:combo,target100_limit99,3,2,0,False,0,-27.68,-19.12,32.79,32.79
observed,observed_sub13:PC28高赔组合期望值 V1（影子）:combo,target100_bankroll,2,1,0,False,1,-99.54,-99.54,99.54,119.43
observed,observed_sub13:PC28高赔组合期望值 V1（影子）:combo,target100_limit99,2,1,0,False,0,-98.54,-98.54,98.54,118.43
observed,observed_sub14:PC28方案7+8+9单双多数票（测试）:odd_even,target100_bankroll,1,1,0,False,0,4.35,4.35,5.0,5.0
observed,observed_sub14:PC28方案7+8+9单双多数票（测试）:odd_even,target100_limit99,1,1,0,False,0,4.35,4.35,5.0,5.0
observed,observed_sub2:找平衡:big_small,target100_bankroll,6,4,0,False,0,-15.85,-30.35,15.85,25.15
observed,observed_sub2:找平衡:big_small,target100_limit99,6,4,0,False,0,-15.85,-30.35,15.85,25.15
observed,observed_sub2:找平衡:combo,target100_bankroll,6,5,0,False,0,-5.2,18.25,24.13,43.45
observed,observed_sub2:找平衡:combo,target100_limit99,6,5,0,False,0,-5.2,18.25,24.13,43.45
observed,observed_sub2:找平衡:odd_even,target100_bankroll,6,5,0,False,0,-20.15,51.15,20.15,22.2
observed,observed_sub2:找平衡:odd_even,target100_limit99,6,5,0,False,0,-20.15,51.15,20.15,22.2
observed,observed_sub3:追长龙:big_small,target100_bankroll,6,6,0,False,0,-36.65,-14.25,36.65,46.35
observed,observed_sub3:追长龙:big_small,target100_limit99,6,6,0,False,0,-36.65,-14.25,36.65,46.35
observed,observed_sub3:追长龙:combo,target100_bankroll,6,6,0,False,0,-64.0,-49.14,69.78,82.0
observed,observed_sub3:追长龙:combo,target100_limit99,6,6,0,False,0,-64.0,-49.14,69.78,82.0
observed,observed_sub3:追长龙:odd_even,target100_bankroll,6,5,0,False,0,-39.85,-23.25,49.2,55.65
observed,observed_sub3:追长龙:odd_even,target100_limit99,6,5,0,False,0,-39.85,-23.25,49.2,55.65
observed,observed_sub4:小六壬预测:big_small,target100_bankroll,6,5,0,False,0,-57.05,3.2,57.05,57.05
observed,observed_sub4:小六壬预测:big_small,target100_limit99,6,5,0,False,0,-57.05,3.2,57.05,57.05
observed,observed_sub4:小六壬预测:combo,target100_bankroll,6,4,0,False,0,-66.84,18.71,85.72,85.72
observed,observed_sub4:小六壬预测:combo,target100_limit99,6,4,0,False,0,-66.84,18.71,85.72,85.72
observed,observed_sub4:小六壬预测:odd_even,target100_bankroll,6,4,0,False,0,-20.05,6.5,27.9,36.25
observed,observed_sub4:小六壬预测:odd_even,target100_limit99,6,4,0,False,0,-20.05,6.5,27.9,36.25
observed,observed_sub5:频次趋势 V1:big_small,target100_bankroll,6,6,0,False,0,-24.1,43.15,24.1,28.6
observed,observed_sub5:频次趋势 V1:big_small,target100_limit99,6,6,0,False,0,-24.1,43.15,24.1,28.6
observed,observed_sub5:频次趋势 V1:combo,target100_bankroll,6,5,0,False,0,-20.99,70.99,20.99,57.9
observed,observed_sub5:频次趋势 V1:combo,target100_limit99,6,5,0,False,0,-20.99,70.99,20.99,57.9
observed,observed_sub5:频次趋势 V1:odd_even,target100_bankroll,6,3,0,False,0,-5.1,120.7,15.6,19.8
observed,observed_sub5:频次趋势 V1:odd_even,target100_limit99,6,3,0,False,0,-5.1,120.7,15.6,19.8
observed,observed_sub6:组合马尔可夫 V1:big_small,target100_bankroll,6,4,0,False,0,-22.0,-32.35,22.0,33.25
observed,observed_sub6:组合马尔可夫 V1:big_small,target100_limit99,6,4,0,False,0,-22.0,-32.35,22.0,33.25
observed,observed_sub6:组合马尔可夫 V1:combo,target100_bankroll,6,4,0,False,0,-32.3,-50.37,57.98,76.88
observed,observed_sub6:组合马尔可夫 V1:combo,target100_limit99,6,4,0,False,0,-32.3,-50.37,57.98,76.88
observed,observed_sub6:组合马尔可夫 V1:odd_even,target100_bankroll,5,4,0,False,0,-56.1,26.55,60.65,62.5
observed,observed_sub6:组合马尔可夫 V1:odd_even,target100_limit99,5,4,0,False,0,-56.1,26.55,60.65,62.5
observed,observed_sub7:遗漏回补 V1:big_small,target100_bankroll,4,2,0,False,0,-8.9,-4.65,26.2,29.55
observed,observed_sub7:遗漏回补 V1:big_small,target100_limit99,4,2,0,False,0,-8.9,-4.65,26.2,29.55
observed,observed_sub7:遗漏回补 V1:combo,target100_bankroll,5,4,0,False,0,-8.44,14.15,37.36,43.34
observed,observed_sub7:遗漏回补 V1:combo,target100_limit99,5,4,0,False,0,-8.44,14.15,37.36,43.34
observed,observed_sub7:遗漏回补 V1:odd_even,target100_bankroll,4,4,0,False,0,-23.1,-38.8,32.2,53.9
observed,observed_sub7:遗漏回补 V1:odd_even,target100_limit99,4,4,0,False,0,-23.1,-38.8,32.2,53.9
