family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue
predictions,consensus789:big_small:pc28_netdisk_regular,target5_limit20,2026-09,2751,186,-19.68,80.32,80.32,19.68,21.6,84,0,102,loss_limit,3476555
predictions,consensus789:big_small:pc28_netdisk_regular,target10_limit20,2026-07,9238,212,-19.94,80.06,80.06,19.94,25.58,97,0,115,loss_limit,3454873
predictions,consensus789:big_small:pc28_netdisk_regular,target10_limit20,2026-08,6234,85,10.04,110.04,99.8,0.2,8.06,48,0,37,profit_target,3463992
predictions,consensus789:big_small:pc28_netdisk_regular,target10_limit20,2026-09,2751,186,-19.68,80.32,80.32,19.68,21.6,84,0,102,loss_limit,3476555
predictions,consensus789:big_small:pc28_netdisk_regular,target1_limit80,2026-07,9238,90,1.08,101.08,89.76,10.24,10.24,46,0,44,profit_target,3454751
predictions,consensus789:big_small:pc28_netdisk_regular,target1_limit80,2026-08,6234,2,1.96,101.96,100.0,0.0,0.0,2,0,0,profit_target,3463909
predictions,consensus789:big_small:pc28_netdisk_regular,target1_limit80,2026-09,2751,6,1.92,101.92,99.0,1.0,1.0,4,0,2,profit_target,3476375
predictions,consensus789:combo:pc28_high_regular,bankroll_only,2026-07,6447,2763,-99.2,0.8,0.8,99.2,160.84,350,343,2070,insufficient_for_one_unit,3458677
predictions,consensus789:combo:pc28_high_regular,bankroll_only,2026-08,4328,4328,-31.65,68.35,31.06,68.94,194.21,570,542,3216,sample_end,3476369
predictions,consensus789:combo:pc28_high_regular,bankroll_only,2026-09,1944,1944,-44.47,55.53,17.2,82.8,128.15,256,212,1476,sample_end,3479182
predictions,consensus789:combo:pc28_high_regular,first_profit_limit20,2026-07,6447,31,1.65,101.65,83.0,17.0,17.0,5,1,25,profit_target,3454705
predictions,consensus789:combo:pc28_high_regular,first_profit_limit20,2026-08,4328,1,5.78,105.78,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_high_regular,first_profit_limit20,2026-09,1944,5,1.33,101.33,96.0,4.0,4.0,1,0,4,profit_target,3476374
predictions,consensus789:combo:pc28_high_regular,first_profit_limit99,2026-07,6447,31,1.65,101.65,83.0,17.0,17.0,5,1,25,profit_target,3454705
predictions,consensus789:combo:pc28_high_regular,first_profit_limit99,2026-08,4328,1,5.78,105.78,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_high_regular,first_profit_limit99,2026-09,1944,5,1.33,101.33,96.0,4.0,4.0,1,0,4,profit_target,3476374
predictions,consensus789:combo:pc28_high_regular,target1_limit20,2026-07,6447,31,1.65,101.65,83.0,17.0,17.0,5,1,25,profit_target,3454705
predictions,consensus789:combo:pc28_high_regular,target1_limit20,2026-08,4328,1,5.78,105.78,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_high_regular,target1_limit20,2026-09,1944,5,1.33,101.33,96.0,4.0,4.0,1,0,4,profit_target,3476374
predictions,consensus789:combo:pc28_high_regular,target5_limit20,2026-07,6447,32,6.98,106.98,83.0,17.0,17.0,6,1,25,profit_target,3454706
predictions,consensus789:combo:pc28_high_regular,target5_limit20,2026-08,4328,1,5.78,105.78,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_high_regular,target5_limit20,2026-09,1944,26,6.1,106.1,93.33,6.67,8.0,5,0,21,profit_target,3476398
predictions,consensus789:combo:pc28_high_regular,target10_limit20,2026-07,6447,33,12.31,112.31,83.0,17.0,17.0,7,1,25,profit_target,3454710
predictions,consensus789:combo:pc28_high_regular,target10_limit20,2026-08,4328,15,13.12,113.12,100.0,0.0,6.0,4,1,10,profit_target,3463930
predictions,consensus789:combo:pc28_high_regular,target10_limit20,2026-09,1944,34,10.76,110.76,93.33,6.67,8.0,7,0,27,profit_target,3476408
predictions,consensus789:combo:pc28_high_regular,target1_limit80,2026-07,6447,31,1.65,101.65,83.0,17.0,17.0,5,1,25,profit_target,3454705
predictions,consensus789:combo:pc28_high_regular,target1_limit80,2026-08,4328,1,5.78,105.78,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_high_regular,target1_limit80,2026-09,1944,5,1.33,101.33,96.0,4.0,4.0,1,0,4,profit_target,3476374
predictions,consensus789:combo:pc28_netdisk_regular,bankroll_only,2026-07,6447,2450,-99.2,0.8,0.8,99.2,124.2,623,0,1827,insufficient_for_one_unit,3458242
predictions,consensus789:combo:pc28_netdisk_regular,bankroll_only,2026-08,4328,2876,-99.2,0.8,0.8,99.2,142.6,729,0,2147,insufficient_for_one_unit,3468194
predictions,consensus789:combo:pc28_netdisk_regular,bankroll_only,2026-09,1944,1247,-99.2,0.8,0.8,99.2,99.2,302,0,945,insufficient_for_one_unit,3478136
predictions,consensus789:combo:pc28_netdisk_regular,first_profit_limit20,2026-07,6447,33,0.6,100.6,83.0,17.0,17.0,8,0,25,profit_target,3454710
predictions,consensus789:combo:pc28_netdisk_regular,first_profit_limit20,2026-08,4328,1,2.6,102.6,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_netdisk_regular,first_profit_limit20,2026-09,1944,59,-19.4,80.6,80.6,19.4,19.4,10,0,49,loss_limit,3476443
predictions,consensus789:combo:pc28_netdisk_regular,first_profit_limit99,2026-07,6447,33,0.6,100.6,83.0,17.0,17.0,8,0,25,profit_target,3454710
predictions,consensus789:combo:pc28_netdisk_regular,first_profit_limit99,2026-08,4328,1,2.6,102.6,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_netdisk_regular,first_profit_limit99,2026-09,1944,1246,-98.2,1.8,1.8,98.2,98.2,302,0,944,loss_limit,3478132
predictions,consensus789:combo:pc28_netdisk_regular,target1_limit20,2026-07,6447,57,2.4,102.4,83.0,17.0,17.0,15,0,42,profit_target,3454753
predictions,consensus789:combo:pc28_netdisk_regular,target1_limit20,2026-08,4328,1,2.6,102.6,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_netdisk_regular,target1_limit20,2026-09,1944,59,-19.4,80.6,80.6,19.4,19.4,10,0,49,loss_limit,3476443
predictions,consensus789:combo:pc28_netdisk_regular,target5_limit20,2026-07,6447,157,5.0,105.0,83.0,17.0,17.0,42,0,115,profit_target,3454904
predictions,consensus789:combo:pc28_netdisk_regular,target5_limit20,2026-08,4328,18,7.2,107.2,98.8,1.2,6.0,7,0,11,profit_target,3463933
predictions,consensus789:combo:pc28_netdisk_regular,target5_limit20,2026-09,1944,59,-19.4,80.6,80.6,19.4,19.4,10,0,49,loss_limit,3476443
predictions,consensus789:combo:pc28_netdisk_regular,target10_limit20,2026-07,6447,164,10.6,110.6,83.0,17.0,17.0,45,0,119,profit_target,3454912
predictions,consensus789:combo:pc28_netdisk_regular,target10_limit20,2026-08,4328,54,10.2,110.2,96.2,3.8,11.0,17,0,37,profit_target,3463982
predictions,consensus789:combo:pc28_netdisk_regular,target10_limit20,2026-09,1944,59,-19.4,80.6,80.6,19.4,19.4,10,0,49,loss_limit,3476443
predictions,consensus789:combo:pc28_netdisk_regular,target1_limit80,2026-07,6447,57,2.4,102.4,83.0,17.0,17.0,15,0,42,profit_target,3454753
predictions,consensus789:combo:pc28_netdisk_regular,target1_limit80,2026-08,4328,1,2.6,102.6,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:combo:pc28_netdisk_regular,target1_limit80,2026-09,1944,1018,-79.6,20.4,20.4,79.6,79.6,249,0,769,loss_limit,3477764
predictions,consensus789:odd_even:pc28_high_regular,bankroll_only,2026-07,9238,1529,-99.6,0.4,0.4,99.6,99.6,384,335,810,insufficient_for_one_unit,3456195
predictions,consensus789:odd_even:pc28_high_regular,bankroll_only,2026-08,6234,6234,17.4,117.4,82.65,17.35,73.0,1684,1452,3098,sample_end,3476369
predictions,consensus789:odd_even:pc28_high_regular,bankroll_only,2026-09,2751,2751,39.15,139.15,81.5,18.5,58.4,759,627,1365,sample_end,3479182
predictions,consensus789:odd_even:pc28_high_regular,first_profit_limit20,2026-07,9238,248,-20.0,80.0,80.0,20.0,20.0,60,57,131,loss_limit,3454909
predictions,consensus789:odd_even:pc28_high_regular,first_profit_limit20,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:odd_even:pc28_high_regular,first_profit_limit20,2026-09,2751,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,consensus789:odd_even:pc28_high_regular,first_profit_limit99,2026-07,9238,1527,-98.6,1.4,1.4,98.6,98.6,384,334,809,loss_limit,3456193
predictions,consensus789:odd_even:pc28_high_regular,first_profit_limit99,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:odd_even:pc28_high_regular,first_profit_limit99,2026-09,2751,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,consensus789:odd_even:pc28_high_regular,target1_limit20,2026-07,9238,248,-20.0,80.0,80.0,20.0,20.0,60,57,131,loss_limit,3454909
predictions,consensus789:odd_even:pc28_high_regular,target1_limit20,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:odd_even:pc28_high_regular,target1_limit20,2026-09,2751,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,consensus789:odd_even:pc28_high_regular,target5_limit20,2026-07,9238,248,-20.0,80.0,80.0,20.0,20.0,60,57,131,loss_limit,3454909
predictions,consensus789:odd_even:pc28_high_regular,target5_limit20,2026-08,6234,10,5.25,105.25,99.85,0.15,2.0,5,1,4,profit_target,3463917
predictions,consensus789:odd_even:pc28_high_regular,target5_limit20,2026-09,2751,385,5.1,105.1,81.6,18.4,20.25,106,88,191,profit_target,3476758
predictions,consensus789:odd_even:pc28_high_regular,target10_limit20,2026-07,9238,248,-20.0,80.0,80.0,20.0,20.0,60,57,131,loss_limit,3454909
predictions,consensus789:odd_even:pc28_high_regular,target10_limit20,2026-08,6234,176,11.75,111.75,92.35,7.65,16.65,55,31,90,profit_target,3464083
predictions,consensus789:odd_even:pc28_high_regular,target10_limit20,2026-09,2751,423,10.45,110.45,81.6,18.4,20.25,117,100,206,profit_target,3476796
predictions,consensus789:odd_even:pc28_high_regular,target1_limit80,2026-07,9238,1375,-79.5,20.5,20.5,79.5,79.5,350,298,727,loss_limit,3456041
predictions,consensus789:odd_even:pc28_high_regular,target1_limit80,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:odd_even:pc28_high_regular,target1_limit80,2026-09,2751,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,consensus789:odd_even:pc28_netdisk_regular,bankroll_only,2026-07,9238,1448,-99.62,0.38,0.38,99.62,101.56,681,0,767,insufficient_for_one_unit,3456114
predictions,consensus789:odd_even:pc28_netdisk_regular,bankroll_only,2026-08,6234,6234,-24.72,75.28,43.12,56.88,89.88,3136,0,3098,sample_end,3476369
predictions,consensus789:odd_even:pc28_netdisk_regular,bankroll_only,2026-09,2751,2751,-6.72,93.28,63.98,36.02,55.94,1386,0,1365,sample_end,3479182
predictions,consensus789:odd_even:pc28_netdisk_regular,first_profit_limit20,2026-07,9238,3,0.96,100.96,99.0,1.0,1.0,2,0,1,profit_target,3454664
predictions,consensus789:odd_even:pc28_netdisk_regular,first_profit_limit20,2026-08,6234,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:odd_even:pc28_netdisk_regular,first_profit_limit20,2026-09,2751,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,consensus789:odd_even:pc28_netdisk_regular,first_profit_limit99,2026-07,9238,3,0.96,100.96,99.0,1.0,1.0,2,0,1,profit_target,3454664
predictions,consensus789:odd_even:pc28_netdisk_regular,first_profit_limit99,2026-08,6234,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:odd_even:pc28_netdisk_regular,first_profit_limit99,2026-09,2751,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,consensus789:odd_even:pc28_netdisk_regular,target1_limit20,2026-07,9238,4,1.94,101.94,99.0,1.0,1.0,3,0,1,profit_target,3454665
predictions,consensus789:odd_even:pc28_netdisk_regular,target1_limit20,2026-08,6234,8,1.9,101.9,99.94,0.06,1.04,5,0,3,profit_target,3463915
predictions,consensus789:odd_even:pc28_netdisk_regular,target1_limit20,2026-09,2751,279,-19.62,80.38,80.38,19.62,20.6,131,0,148,loss_limit,3476652
predictions,consensus789:odd_even:pc28_netdisk_regular,target5_limit20,2026-07,9238,364,-19.48,80.52,80.52,19.48,21.42,174,0,190,loss_limit,3455025
predictions,consensus789:odd_even:pc28_netdisk_regular,target5_limit20,2026-08,6234,699,-19.86,80.14,80.14,19.86,23.82,343,0,356,loss_limit,3464607
predictions,consensus789:odd_even:pc28_netdisk_regular,target5_limit20,2026-09,2751,279,-19.62,80.38,80.38,19.62,20.6,131,0,148,loss_limit,3476652
